;;1990;2000;2005;2010;2011;2012;2013
ZAN;Запасы на начало года;60,4;31,6;43,6;69,5;51,7;59;43,1
VSB;Валовой сбор (в весе после доработки);116,7;65,4;77,8;61;94,2;70,9;92,4
IMP;Импорт ;16,9;4,7;1,5;0,4;0,7;1,2;1,5
RES;Итого ресурсов;194;101,7;122,9;130,9;146,6;131,1;137
SEM;Использование на семена;17;11,5;10,8;10,1;10,3;10,5;10,4
KRM;Использованиена корм скоту и птице;13,5;10,8;11,2;10,3;10,6;10;9,6
PER;Переработано на муку, крупу, комбикорма и другие цели;94,7;40,6;44;43,9;47,4;43,8;44,5
POT;Потери;2,3;0,8;0,9;0,9;0,9;1,1;1,2
EXP;Экспорт;2;1,3;12,2;13,9;18,3;22,5;19
LIC;Личное потребление;0;0,1;0,1;0,1;0,1;0,1;0,1
ZAK;Запасы на конец года;64,5;36,6;43,7;51,7;59;43,1;52,2
