;;1995;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
SH;Сельское хозяйство, охота и лесное хозяйство;54,91;44,31;43,03;42,55;44,74;42,62;42,96;45,2;49,02;51,61;50,92;53,34;53,06;52,78;54,54
RYB;Рыболовство, рыбоводство;157,96;127,98;115,39;99,02;105,13;119,63;115,77;108,85;112,77;122,94;113,51;111;109,66;108,88;114,05
DPI;Добыча полезных ископаемых;225,91;267,17;254,13;253,02;249,9;230,59;217,65;206,77;192,05;189,74;190,41;193,13;189,27;181,8;181,44
IZN1;из нее:;;;;;;;;;;;;;;;
DPIT;добыча топливно-энергетических  полезных;256,54;314,16;299,99;293,45;295,32;274,18;259,68;244,79;225,86;223,04;220,84;220,75;214,84;205,03;205,51
DPIO;добыча полезных ископаемых, кроме топливно-энергетических;159,31;179,88;161,34;170,88;161,39;154,02;144,48;140,46;132,66;129,12;135,1;143,69;143,7;140,15;136,76
OBRB;Обрабатывающие производства;96,06;106,38;101,81;101,91;101,62;98,43;95,91;94,74;92,83;88,98;91,06;93,2;92,05;90,78;90,82
IZN2;из них:;;;;;;;;;;;;;;;
PISC;производство пищевых продуктов, включая напитки, и табака;104,28;98,2;93,25;91,42;90;85,38;82,82;81,43;80,57;83,99;82,65;81,71;79,26;78,3;77,18
TEX;текстильное и швейное производство;50,97;54,64;51,41;50,98;49,8;46,59;46,68;48,48;48,89;48,4;49,17;47,09;45,42;45,28;44,48
KOZH;производство кожи, изделий из кожи и производство обуви;58,66;60,62;60,11;58,74;56,01;54,88;53,12;55,45;55,07;54,05;54,15;52,85;49,33;49,43;49,6
DREV;обработка древесины и производство изделий из дерева;82,75;78,22;68,35;68,29;68,47;68,91;65,36;64,85;65,36;58,74;60,71;59,66;57,26;56,89;57,33
ZBP;целлюлозно-бумажное производство, издательская и полиграфическая деятельность;120,6;123,08;125,68;124,55;117,1;110,1;102,72;101,46;101,98;95,01;95,95;101,46;98,81;95,68;89,93
COX;производство кокса и нефтепродуктов;171,66;221,12;220,75;216,04;203,71;226,73;209,89;210,14;201,92;203,7;198,37;207,38;222,3;217,37;232,4
HIM;химическое производство;109,57;123,89;112,37;111,94;114;116,05;109,08;107,52;105,38;104,25;106,09;109,47;108,53;109,14;111,46
REZ;производство резиновых и пластмассовых изделий;89,88;96,27;90,75;90,04;88,39;80,41;82,45;81,53;77,87;74,32;75,25;75,8;74,2;72,5;71,61
NEM;производство прочих неметаллических минеральных продуктов;103,66;98,14;94,81;94,71;95,29;92,6;93,89;97,06;94,69;86,14;86,47;87,8;87,05;85,45;84,12
MET;металлургическое производство и производство готовых металлических изделий;145,62;173,38;144,15;140,61;136,46;119,94;112,86;110,28;105,1;96,29;100,95;102,22;99,76;95,73;93,67
MASH;производство машин и оборудования;80;88,84;93,26;94,02;96,66;97,95;97,97;99,16;97,98;91,27;95,95;97,47;96,4;94,76;93,15
ELE;производство электрооборудования, электронного и оптического оборудования;78,47;90,11;87,51;92,91;95,43;96,07;96,76;96,48;96,06;93,15;96,31;100,03;98,97;98,53;100,87
TO;производство транспортных средств и оборудования;104,49;110,38;116,96;115,76;116,15;109,61;107,5;103,09;100,24;93,19;99,11;104,85;103,87;103,13;103,82
PR;прочие производства;79,13;92,35;75,21;73,57;76,89;74,66;77,85;74,4;72,84;67,3;65,26;66,64;64,39;62,89;60,66
PREE;Производство и распределение электроэнергии, газа и воды;166,57;141,97;134,61;131,59;128,23;124,34;120,63;114,67;110,22;115,65;115,29;115,39;110,54;108,19;107,12
STR;Строительство;124,32;118,73;110,24;112,33;108,39;105,7;102,21;105,44;107,43;97,24;101,05;101,34;97,45;92,98;90,33
TORG;Оптовая и розничная торговля, ремонт автотранспортных средств,мотоциклов, бытовых изделий и предметов личного пользования;75,7;71,26;70,38;72,28;72,8;76,59;77,44;84,43;86,33;85,63;87,85;83,93;81,24;77,77;78,78
GOST;Гостиницы и рестораны;68,86;73,76;69,7;72,14;70,29;70,52;70,73;68,7;66,72;66,91;64,27;62,87;62,45;61,44;60,81
TRA;Транспорт и связь;148,79;144,83;134,2;135,88;138,29;132,68;125,92;121,03;120,07;120,19;122,14;122,42;118,08;116,06;113,9
SVYA;связь;124,09;129,5;129,84;132,84;133,16;133,13;124,32;118,02;115,2;112,26;115,86;115,52;107,78;105,22;103,72
FIN;Финансовая деятельность;159,86;235,32;303,78;283,01;257,94;262,58;262,23;256,59;242,17;227,35;239,21;238,73;221,56;212,58;211
NEDV;Операции с недвижимым имуществом, аренда и предо-ставление услуг;88,1;110,49;107,27;112,69;115,67;119,66;120,02;122,42;123,05;121,31;122,29;120,84;116,14;113,61;115,58
NAU;научные исследования и разработки;;;;;;128,59;;;;;153,48;157,26;158,47;161,3;168,97
GOS;Государственное управление и обеспечение военной безопасности, социальное страхование;109,44;121,98;119,27;125,74;117,2;128,1;126,74;124,3;123,45;128,56;119,9;118,77;134,07;135,77;131,28
OBR;Образование;65,47;55,78;67,14;61,59;62,37;63,47;65,67;64,58;65,45;71,33;67,18;67,65;71,33;78,74;79,59
ZDR;Здравоохранение и предоставление социальных услуг;73,03;59,97;72,04;66,61;68,43;69,04;75,79;73,83;75,47;79,51;75,05;75,08;77,51;82,03;83,3
ZKH;Предоставление прочих коммунальных, социальных и персональных услуг;99,64;69,62;73;71,3;71,56;73,54;75,2;76,45;78,3;80,86;78,14;77,88;78,81;83,04;85,79
